房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2778263240877555712,整租·昌里花园(三期),4室0厅,11000,(季付价),整租,135㎡,南,1天前,低楼层/18层,暂无数据,暂无数据,随时入住,有,"【户型介绍】<br />
户型方正，房子是三房改的四房，两房朝南，两房朝北，两个卫生间，适合一家人，朋友合租，<br />
<br />
【装修描述】<br />
房子是之前的公寓装修，现在收回来了，房东自己重新刷了一下墙，还挺不错的，<br />
<br />
【交通出行】<br />
6、7号线隔街相望，转角就是西藏南路隧道口和杨高南路，东西南北直通！门口公交：119路；980路；786路；871路；976路；572路；浦东36路；南川线；隧道二线；大桥一线；隧道夜宵一线等<br />
<br />
【出租原因】<br />
之前出租给别的公寓的，现在房子收回来了，房子空置，随时入住，业主工作搬到了其它的房子居住<br />
<br />
【周边配套】<br />
小区后面是三林体育馆，东边是上实，西门过街是家家乐卖场，周家渡街道医院、街道办、派出所。小区一公里内有菜场，卖场，各大银行，方便生活。<br />
<br />
【小区介绍】<br />
昌里花园三期是00年建成的商品房社区，小区里面住的人都是素质比较高的人群，住在这里生活环境也不一样，<br />
<br />
",7号线 - 云台路,540m,http://sh.lianjia.com/zufang/SH2778263240877555712.html,"
          整租·昌里花园(三期) 4室0厅 南        ",浦东,世博,昌里花园(三期)
房源编号：SH2778313780143063040,整租·前滩东方逸品,1室2厅,10500,(季付价),整租,58㎡,南,3天前,低楼层/33层,租用车位,2年以内,随时入住,有,"【房源亮点】<br />
小区少数在租一房，开发商精装交付，品质好，随时入住，一房户型。<br />
<br />
【装修描述】<br />
本小区的房子是开发商统一精装修，带中yang空调，大金品牌。带新风。燃气灶、油烟机、烤箱、 冰箱等家电品牌为smeg，厨房也有压力储水罐和净水器<br />
<br />
【交通出行】<br />
前滩东方逸品位于海阳西路500弄，近东育路、杨思西路，距离南北高架延伸线济阳 路入口/中环入口0.86公里，距离东方体育zhong心地铁站（6、8、11三线交轨） 380米（数据来源：百度地图），交通便利。<br />
<br />
【出租原因】<br />
业主是链家老客户，上次出租也是链家租掉的，比较相信链家的客源。<br />
<br />
【周边配套】<br />
有上海纽约大学前滩分校，莱佛士医院，基督教涌恩堂，法华学问寺，前滩企业天地 办公楼已崛起，世界500强企业已入驻，在建信德文化center还有前滩休闲公园，前滩体育公园，前滩友城公园，滨江大道（漫步道、跑步道、自行车道）等，适合周末搭帐篷<br />
<br />
【小区介绍】<br />
前滩东方逸品位于海阳西路500弄，近东育路、杨思西路，陆家嘴物业，小区有2幢楼4个楼号组成，有地下三层停车库，电梯直达。小区北边是香格里拉酒店、太古里和前滩中xin，小区南边是上海纽约大学前滩分校（在建）。<br />
<br />
",6号线 - 灵岩南路,365m,http://sh.lianjia.com/zufang/SH2778313780143063040.html,"
          整租·前滩东方逸品 1室2厅 南        ",浦东,杨思前滩,前滩东方逸品
房源编号：SH2778215275211005952,整租·德州七村,2室1厅,7000,(季付价),整租,56㎡,南,4天前,高楼层/6层,租用车位,2年以内,随时入住,无,"【房源亮点】<br />
高层，户型好，视野开阔，通风好，采光好，户型是全明的，而且的话房间内是不会潮的，房子被保护得很好，很有家的感觉。<br />
<br />
【户型介绍】<br />
这个房子的户型是南北两房，中间带有一个客厅，两边是厨房和卫生间。<br />
<br />
【装修描述】<br />
这个房子的装修属于精装修，干净，适合过日子的人居住，两房而且带个小厅，有自己的私人空间，采光通风也很好。<br />
<br />
【交通出行】<br />
小区东门出口向北7号线长清路地铁站，乘坐地铁出行十分方便，也可在小区门口西营路德州路公交站乘坐338、610、818路、604路、871路、等多条公交线路，四通八达。如果近距离出行可选择门口绿色出行自行车，健康环保。<br />
<br />
【周边配套】<br />
房子小区是90年左右建成的，环境不错，也有大公园，出门就是是德州路生活配套齐全。<br />
<br />
【小区介绍】<br />
背靠浦东世博会会址,是世博轴和世博园区浦东主入口，可以说属于世博板块的发源地，未来该区域定位城市公共活动和旅游休闲区，购物有上南店沃尔玛、可的便利、良友金伴。小区西面的卢浦大桥高架。<br />
<br />
","7号线,13号线 - 长清路",1020m,http://sh.lianjia.com/zufang/SH2778215275211005952.html,"
          整租·德州七村 2室1厅 南        ",浦东,世博,德州七村
房源编号：SH2778299308435849216,整租·新城香溢璟庭(一期),4室2厅,9500,(季付价),整租,141㎡,南 北,今天,高楼层/7层,租用车位,暂无数据,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778299308435849216.html,"
          整租·新城香溢璟庭(一期) 4室2厅 南/北        ",嘉定,嘉定新城,新城香溢璟庭(一期)
房源编号：SH2778356766273454080,整租·三湘商业广场,2室1厅,3500,(季付价),整租,33㎡,西北,4天前,低楼层/19层,暂无数据,3年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778356766273454080.html,"
          整租·三湘商业广场 2室1厅 西北        ",松江,泗泾,三湘商业广场
房源编号：SH2778323574044770304,整租·南新三村,1室1厅,4800,(季付价),整租,50㎡,南,4天前,高楼层/6层,免费使用,3年以内,随时入住,无,"【交通出行】<br />
地铁距下南路站994米，公交距离陈春路下南路站83米，共两条线路，离下南路商汇站149米，共有两条线路。（数据来源于百度）<br />
<br />
【周边配套】<br />
该小区旁有南新小区休闲绿地，幕天shangye广场，联华超市，还有上海市育童xiaoxue。<br />
<br />
【小区介绍】<br />
小区为动迁的老小区，居住大多为老年人，小区环境好，安静，适合居住。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2778323574044770304.html,"
          整租·南新三村 1室1厅 南        ",浦东,北蔡,南新三村
房源编号：SH2778938442317570048,整租·凤凰城天悦,3室2厅,3500,无信息,整租,94㎡,南 北,今天,中楼层/13层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778938442317570048.html,"
          整租·凤凰城天悦 3室2厅 南/北        ",奉贤,海湾,凤凰城天悦
房源编号：SH2778841445992235008,整租·海上国际,1室1厅,7800,(季付价),整租,42㎡,南,今天,低楼层/26层,暂无数据,暂无数据,2021/6/3,有,无信息,8号线 - 鞍山新村,109m,http://sh.lianjia.com/zufang/SH2778841445992235008.html,"
          整租·海上国际 1室1厅 南        ",杨浦,鞍山,海上国际
房源编号：SH2778828892264472576,整租·名都城(公寓),3室2厅,14000,无信息,整租,112㎡,南 北,3天前,高楼层/8层,租用车位,2年以内,随时入住,有,"【交通出行】<br />
小区交通便利，出门500米即延安西路高架和中环线吴中路出入口，1公里内10号线水城路地铁站，西面距虹桥综合交通枢纽只有3公里左右，东面距徐家汇约4公里左右，北面就是古北国际社区；无论是公交、轨交还是自驾，都比较方便。<br />
<br />
【周边配套】<br />
古北家乐福、高岛屋、1699广场、森晟世洋国际广场等，步行街上八大银行及外资银行一应俱全，居民*各类银行业务都比较方便，小区西边600米左右就是武警上海市总队医院。<br />
<br />
【小区介绍】<br />
小区位于闵行区金虹桥板块，该板块地理位置优越，接壤徐汇和长宁；小区由仲盛集团打造，物业是仲源物业管理有限公司，小区共29栋楼，总高为8-9-14-15-18层，小区自带会所、露天泳池、健身房、网球场等。<br />
<br />
","10号线(新江湾城-虹桥火车站),10号线(新江湾城-航中路) - 水城路",1073m,http://sh.lianjia.com/zufang/SH2778828892264472576.html,"
          整租·名都城(公寓) 3室2厅 南/北        ",闵行,金虹桥,名都城(公寓)
房源编号：SH2778860963338649600,整租·青浦万达茂(住宅),2室2厅,4300,(季付价),整租,87㎡,南,今天,中楼层/21层,暂无数据,暂无数据,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778860963338649600.html,"
          整租·青浦万达茂(住宅) 2室2厅 南        ",青浦,盈浦,青浦万达茂(住宅)
房源编号：SH2778913272702189568,整租·泗泾新苑,1室1厅,4300,(季付价),整租,60㎡,南,4天前,低楼层/15层,暂无数据,3年以内,2021/5/18,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778913272702189568.html,"
          整租·泗泾新苑 1室1厅 南        ",松江,泗泾,泗泾新苑
房源编号：SH2778873767307517952,整租·博山小区,3室1厅,7200,(季付价),整租,57㎡,南,1天前,高楼层/6层,暂无数据,1年以内,2021/5/29,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778873767307517952.html,"
          整租·博山小区 3室1厅 南        ",浦东,洋泾,博山小区
房源编号：SH2778854530526756864,整租·保利叶上海(三期),3室2厅,5500,(季付价),整租,84㎡,南,3天前,中楼层/33层,暂无数据,3年以内,随时入住,有,"【房源亮点】<br />
有钥匙，看房方便，价格美丽，卧室窗户可以看到东方明珠和上海中xin。采光视野，通风性都比较好。<br />
<br />
【装修描述】<br />
精装三房，拎包入住，客厅瓷砖，房间实木地板，整体干净整洁。。<br />
<br />
【交通出行】<br />
门口有1604路公交车，到达7号线顾村公园地铁站6站，20fen钟可到地铁站，共享单车可直达地铁7号线顾村公园站，S7。<br />
<br />
【出租原因】<br />
房东小孩读书不在这边居住，所以房子空置，诚心出租。。。。。。<br />
<br />
【周边配套】<br />
龙湖北城天街、绿地正大缤纷城、复旦大学附属华山北院。<br />
<br />
【小区介绍】<br />
保利叶上海三期,小区居住舒适度高,整个保利叶三期是围绕小区中建花园建成，小区的居住品质和物业管理在区域有目共睹。小区安保24小时值班巡逻，安保设施齐全，规范标准。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2778854530526756864.html,"
          整租·保利叶上海(三期) 3室2厅 南        ",宝山,顾村,保利叶上海(三期)
房源编号：SH2778858397649608704,整租·华严路58弄,2室2厅,7200,(季付价),整租,79㎡,南,1天前,中楼层/6层,暂无数据,暂无数据,2021/6/1,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2778858397649608704.html,"
          整租·华严路58弄 2室2厅 南        ",虹口,江湾镇,华严路58弄
房源编号：SH2778921761562173440,整租·丰水宝邸(东苑),2室2厅,4300,(季付价),整租,72㎡,南,今天,高楼层/6层,暂无数据,2年以内,随时入住,无,"【户型介绍】<br />
户型介绍： 此房是南北直通两房，南卧13平左右，次卧10平左右，两个卧室都带飘窗，增加了可用面积，而且是南北双阳台<br />
<br />
【周边配套】<br />
1、公园：顾村公园；2、生活购物：沃尔玛，顾荻路农贸市场；3、商场：正大乐城、龙湖北城天街；4、交通：地铁1号线（宝安公路站）和7号线、15号线（顾村公园站），公交宝山1路、29路、1604路；5、医院：华山医院北院<br />
<br />
【小区介绍】<br />
小区介绍： 丰水宝邸这个小区，是新顾村板块的类商品房小区，占地11万平方米，邻近天然氧吧，顾村公园。小区户型主要以一梯两户为主，户型好。小区内有公共健身区和儿童游乐区，平时您可以和家人孩子一起活动活动，让生活更有乐趣<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2778921761562173440.html,"
          整租·丰水宝邸(东苑) 2室2厅 南        ",宝山,顾村,丰水宝邸(东苑)
房源编号：SH2778790027323244544,整租·上南十村,1室1厅,4600,(季付价),整租,38㎡,南,1天前,高楼层/6层,租用车位,暂无数据,随时入住,无,"【户型介绍】<br />
房屋采光充足，通风好，厨房和卫生间干湿分离，适合居家，房屋朝南<br />
<br />
【装修描述】<br />
居家装修，比较适合上班族和白领，房子干净整洁，居住舒服，房屋整齐！<br />
<br />
【交通出行】<br />
成山路地铁站和东明路地铁站，有3条地铁线，分别是6号线，8号线，13号线<br />
<br />
","8号线,13号线 - 成山路",552m,http://sh.lianjia.com/zufang/SH2778790027323244544.html,"
          整租·上南十村 1室1厅 南        ",浦东,世博,上南十村
